AAV-mRNA-1	AAV-mRNA-2	AAV-mRNA-3	MC-mRNA-1	MC-mRNA-2	MC-mRNA-3	Querques-HIV	Querques-MChsSB	Querques-MCMC	Querques-safeharbor	random1e6
3pUTR	0.0428257686676428	0.0398517145505097	0.0366782006920415	0.0509467989179441	0.0446428571428571	0.0421202082347373	0.0735824742268041	0.0284951024042743	0.0390622088039062	0.0120458135860979	0.0292241653418124
5pUTR	0.0221449487554905	0.0231696014828545	0.0223760092272203	0.0369702434625789	0.0347222222222222	0.0383341221012778	0.0345360824742268	0.00890471950133571	0.0185992769018599	0.000592417061611374	0.0177307896131426
CodingExons	0.0155563689604685	0.0169138090824838	0.0175317185697809	0.0261496844003607	0.0257936507936508	0.024609559867487	0.0262886597938144	0.00267141585040071	0.00924372880092437	0	0.0117307896131426
cosmic_oncogenes	0.0869326500732064	0.0947636700648749	0.089042675893887	0.0955816050495942	0.0907738095238095	0.0965451964032182	0.163659793814433	0.0810329474621549	0.0863244996086324	0.0120458135860979	0.0668532061473238
Exons	0.0697291361639824	0.0669601482854495	0.0648212226066897	0.0924256086564473	0.0848214285714286	0.085660198769522	0.107603092783505	0.0365093499554764	0.0584442208058444	0.0126382306477093	0.0496438791732909
Genes	0.69692532942899	0.694161260426321	0.693425605536332	0.701082055906222	0.708333333333333	0.707998106956933	0.930670103092784	0.632235084594835	0.671139438667114	0.187993680884676	0.571802861685215
Introns	0.667642752562225	0.663113994439296	0.66643598615917	0.659603246167719	0.671130952380952	0.669190724088973	0.89020618556701	0.61353517364203	0.645756457564576	0.126382306477093	0.549100158982512
Upstream10k	0.34205710102489	0.33595922150139	0.326874279123414	0.355275022542831	0.341765873015873	0.356365357311879	0.50270618556701	0.32413178984862	0.325245070632525	0.0280410742496051	0.2500826709062
Upstream1k	0.0475841874084919	0.0495829471733086	0.0461361014994233	0.0626690712353472	0.0610119047619048	0.0530052058684335	0.0672680412371134	0.0418521816562778	0.0429758843042976	0.000592417061611374	0.0382925278219396
